sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
前金,高雄市,33,,良好,0.2,0.2,36.3,36.2,7,2,5.5,6.1,0.5,1.8,346,2024-06-05 03:00,,0.2,4,13,0,120.28676111,22.63390278,56
左營,高雄市,31,,良好,0.3,0.23,30.3,33.7,5,4,7.2,7.4,0.1,0.4,312,2024-06-05 03:00,,0.2,7.6,14,0,120.292917,22.674861,54
楠梓,高雄市,31,,良好,0.3,0.2,27.1,34.3,8,5,6.2,7.1,0.8,0.2,91,2024-06-05 03:00,,0.2,4.9,12,1,120.328289,22.733667,53
林園,高雄市,31,,良好,6.4,0.21,28.9,34.6,27,12,6.5,7.4,0.8,1.9,24,2024-06-05 03:00,,0.2,7.7,22,1,120.41175,22.4795,52
大寮,高雄市,27,,良好,5.9,0.21,23.3,29.5,16,3,11.2,11.8,0.6,0.4,319,2024-06-05 03:00,,0.2,6.7,17,3,120.425311,22.56413611,51
鳳山,高雄市,33,,良好,1.4,0.24,34.8,36.6,5,1,5.9,6.4,0.4,0.7,294,2024-06-05 03:00,,0.2,5,13,1,120.357422,22.628126,50
仁武,高雄市,31,,良好,1.5,0.25,25.9,34.1,8,4,12.2,13.3,1,1,299,2024-06-05 03:00,,0.2,7.4,11,1,120.332631,22.689056,49
橋頭,高雄市,31,,良好,0.9,0.23,22.8,34.3,17,5,8.4,9.2,0.7,1.2,16,2024-06-05 03:00,,0.2,4.6,12,1,120.305689,22.757506,48
美濃,高雄市,32,,良好,0.5,0.2,19.4,35.0,11,0,2.3,3.1,0.8,0.3,102,2024-06-05 03:00,,0.1,2.9,13,0,120.530542,22.883583,47
臺南,臺南市,35,,良好,0.4,0.25,31,38.1,16,11,11.4,11.5,0.1,1.1,16,2024-06-05 03:00,,0.2,7.5,10,0,120.21947897,22.98928311,46
安南,臺南市,36,,良好,0.2,0.28,23.1,39.0,30,19,14.7,15.5,0.8,0.3,40,2024-06-05 03:00,,0.2,11,18,1,120.2175,23.048197,45
善化,臺南市,35,,良好,0.6,0.16,25.7,38.6,12,6,4.3,4.8,0.4,0.5,5,2024-06-05 03:00,,0.1,7.3,11,1,120.29740529,23.11337642,44
新營,臺南市,46,,良好,0.7,0.21,38.6,50.2,14,1,3.7,5.1,1.4,0.3,20,2024-06-05 03:00,,0.2,5.4,12,1,120.31725,23.305633,43
嘉義,嘉義市,44,,良好,0.9,0.19,37.1,47.4,7,2,3.4,4.5,1.1,1.8,79,2024-06-05 03:00,,0.2,3.7,8,1,120.44125148,23.46477865,42
臺西,雲林縣,41,,良好,0.3,0.2,36.5,44.5,24,12,2.6,3,0.3,0.8,93,2024-06-05 03:00,,0.1,10.9,22,1,120.19933333,23.702175,41
朴子,嘉義縣,44,,良好,0.7,0.21,33.5,48.2,14,6,2.9,4.6,1.7,0.3,111,2024-06-05 03:00,,0.2,6.5,13,1,120.2478,23.46538,40
新港,嘉義縣,45,,良好,1.3,0.21,31,49.6,24,14,6.3,7.9,1.5,0.4,89,2024-06-05 03:00,,0.2,13.8,27,1,120.345531,23.554839,39
崙背,雲林縣,57,細懸浮微粒,普通,0.5,0.26,26.5,40.6,24,22,4.8,6.2,1.3,0.3,78,2024-06-05 03:00,,0.2,18.1,26,0,120.348742,23.757547,38
斗六,雲林縣,44,,良好,1.3,0.27,26.9,48.5,26,8,8,9,0.9,0.2,81,2024-06-05 03:00,,0.2,12,21,1,120.544994,23.711853,37
南投,南投縣,39,,良好,0,0.2,29.4,42.9,25,10,1.8,3.1,1.3,0.2,190,2024-06-05 03:00,,0.2,8.7,19,0,120.685306,23.913,36
二林,彰化縣,60,細懸浮微粒,普通,0.8,0.24,25.7,43.6,27,23,5.6,6,0.4,0.6,23,2024-06-05 03:00,,0.2,19.2,30,1,120.409653,23.925175,35
線西,彰化縣,46,,良好,0.6,0.25,30.5,47.9,24,13,6,6.8,0.7,1.2,124,2024-06-05 03:00,,0.2,14.2,28,1,120.469061,24.131672,34
彰化,彰化縣,44,,良好,0.3,0.19,34.5,47.3,17,6,2.5,3.7,1.2,0.5,26,2024-06-05 03:00,,0.2,12.6,24,1,120.541519,24.066,33
西屯,臺中市,58,細懸浮微粒,普通,0.9,0.24,36.5,43.0,26,15,6.3,8.2,1.9,1.1,354,2024-06-05 03:00,,0.2,18.3,26,1,120.616917,24.162197,32
忠明,臺中市,45,,良好,1.2,0.29,34.7,46.1,19,10,4.8,5.5,0.7,0.5,61,2024-06-05 03:00,,0.2,13.8,23,1,120.641092,24.151958,31
大里,臺中市,60,細懸浮微粒,普通,1,0.33,25.2,42.1,21,18,6.2,6.7,0.5,1.5,80,2024-06-05 03:00,,0.3,19.2,23,1,120.67844444,24.09961111,30
沙鹿,臺中市,45,,良好,0.8,0.22,45.4,47.6,7,5,3.8,4.1,0.2,0.7,11,2024-06-05 03:00,,0.2,13.9,20,1,120.568794,24.225628,29
豐原,臺中市,41,,良好,0.9,0.22,30.3,39.2,16,9,3.6,4.5,0.9,0.7,41,2024-06-05 03:00,,0.2,12.5,19,1,120.74252414,24.25699731,28
三義,苗栗縣,41,,良好,1,0.24,36.5,32.9,8,5,4.9,6.2,1.3,0.3,161,2024-06-05 03:00,,0.2,12.5,18,1,120.75956754,24.38248443,27
苗栗,苗栗縣,30,,良好,0.9,0.19,30.3,27.6,9,7,2.7,4.4,1.7,1.2,19,2024-06-05 03:00,,0.2,9.2,14,1,120.82011468,24.56499183,26
頭份,苗栗縣,32,,良好,0.9,0.2,41,27.9,13,8,2,3.1,1.1,1.4,94,2024-06-05 03:00,,0.3,10,17,1,120.89869286,24.69690679,25
新竹,新竹市,37,,良好,0,0.23,47.7,20.7,4,10,5,5.8,0.8,1.4,70,2024-06-05 03:00,,0.5,11.3,16,1,120.97236752,24.8056356,24
竹東,新竹縣,28,,良好,0.4,0.21,24.3,20.2,12,9,3.6,3.9,0.3,0.2,35,2024-06-05 03:00,,0.2,8.6,20,1,121.08895493,24.74091408,23
湖口,新竹縣,51,細懸浮微粒,普通,0.5,0.33,44,24.8,12,9,5.1,6.6,1.4,0.9,129,2024-06-05 03:00,,0.4,15.7,28,1,121.03886894,24.90009696,22
龍潭,桃園市,55,細懸浮微粒,普通,0.6,0.28,20.9,25.7,25,13,12.5,13.1,0.5,0.2,159,2024-06-05 03:00,,0.4,17,29,1,121.21645772,24.86400048,21
平鎮,桃園市,45,,良好,0.8,0.3,33.4,31.6,24,13,10.9,11.9,1,0.3,219,2024-06-05 03:00,,0.4,13.8,28,1,121.203986,24.952786,20
觀音,桃園市,55,細懸浮微粒,普通,0.8,0.21,42.4,33.2,26,13,6.9,7.4,0.4,0.8,146,2024-06-05 03:00,,0.2,17.3,28,1,121.08283092,25.03556747,19
大園,桃園市,41,,良好,0.4,0.26,42.3,37.7,20,13,6.4,6.8,0.4,1.6,193,2024-06-05 03:00,,0.3,12.7,25,1,121.20251473,25.06100357,18
桃園,桃園市,51,細懸浮微粒,普通,1,0.29,36.4,36.4,20,13,10.6,11,0.4,0.7,185,2024-06-05 03:00,,0.3,15.5,25,1,121.30500531,24.9947107,17
大同,臺北市,52,細懸浮微粒,普通,0.4,0.4,36,29.8,30,14,13.5,14.6,1,-,-,2024-06-05 03:00,,0.5,16,33,0,121.51342074,25.06331455,16
松山,臺北市,50,,良好,1.2,0.21,40.5,39.4,24,21,6.9,6.9,0,0.5,63,2024-06-05 03:00,,0.2,15.3,27,1,121.578611,25.05,15
古亭,臺北市,45,,良好,1.3,0.23,45.3,49.1,21,16,4.3,4.7,0.3,0.5,186,2024-06-05 03:00,,0.2,12.7,24,1,121.529556,25.020608,14
萬華,臺北市,38,,良好,0.6,0.29,42.9,41.7,24,12,10.7,11,0.3,0.3,298,2024-06-05 03:00,,0.3,11.8,27,0,121.507972,25.046503,13
中山,臺北市,38,,良好,0.6,0.22,46.7,41.2,29,11,6.8,7.3,0.4,0.6,114,2024-06-05 03:00,,0.3,11.7,27,0,121.526528,25.062361,12
士林,臺北市,48,,良好,0.2,0.16,53.8,52.1,21,12,3.2,3.8,0.6,0.4,62,2024-06-05 03:00,,0.1,12,24,1,121.51666356,25.10334003,11
淡水,新北市,64,臭氧八小時,普通,0.8,0.17,57.9,59.3,28,13,2,2.7,0.6,1.5,170,2024-06-05 03:00,,0.1,12.6,32,1,121.449239,25.1645,10
林口,新北市,41,,良好,1,0.3,30.5,44.4,29,13,18.4,19.5,1.1,0.9,249,2024-06-05 03:00,,0.2,10,24,0,121.36548982,25.07798949,9
菜寮,新北市,42,,良好,0.8,0.32,37.8,45.5,22,13,11.6,12.2,0.5,0.4,220,2024-06-05 03:00,,0.2,10.7,25,1,121.481028,25.06895,8
新莊,新北市,45,,良好,0.8,0.33,22,39.1,34,20,15.7,16.2,0.5,1.1,177,2024-06-05 03:00,,0.3,13.8,27,0,121.4325,25.037972,7
板橋,新北市,38,,良好,1,0.35,28.3,41.2,29,15,14,14.6,0.6,1,233,2024-06-05 03:00,,0.3,10.3,27,0,121.458667,25.012972,6
土城,新北市,60,細懸浮微粒,普通,0.9,0.31,27,41.5,27,24,11.6,11.9,0.3,1.4,111,2024-06-05 03:00,,0.3,19.1,28,1,121.451861,24.982528,5
新店,新北市,53,細懸浮微粒,普通,0.7,0.22,51.1,53.6,21,20,3.3,4.5,1.2,1.1,162,2024-06-05 03:00,,0.2,16.2,23,1,121.537778,24.977222,4
萬里,新北市,30,,良好,0.3,0.17,22,32.6,21,10,7.5,8,0.5,2,207,2024-06-05 03:00,,0.1,8.4,24,1,121.689881,25.179667,3
汐止,新北市,41,,良好,0.3,0.24,22.9,42.7,22,17,18.4,19.6,1.2,0.6,75,2024-06-05 03:00,,0.1,12.7,23,1,121.64081,25.06624,2
基隆,基隆市,44,,良好,0.4,0.21,41.8,48.2,24,8,3.5,3.8,0.3,1.2,86,2024-06-05 03:00,,0.2,9.2,24,1,121.760056,25.129167,1
屏東(枋山),屏東縣,71,臭氧八小時,普通,0.2,0.16,67.1,61.2,22,6,1.6,1.5,0,5.2,79,2024-06-05 02:00,,0.1,7.5,20,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,48,,良好,0.2,,35.2,40.2,15,10,6.8,7.1,0.3,1,74,2024-06-05 02:00,,0.4,14.9,23,0,120.65525382,24.39017512,312
新北(樹林),新北市,61,細懸浮微粒,普通,0.6,0.3,16.4,22.9,30,24,13.3,13.9,0.5,0,58,2024-06-05 02:00,,0.4,19.6,32,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,38,,良好,0.4,0.17,40.6,41.8,7,6,3.4,3.8,0.4,1.4,306,2024-06-05 02:00,,0.2,9.4,11,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,40,,良好,0.1,0.21,28.8,44.0,17,8,8.7,9.9,1.1,0.2,106,2024-06-05 02:00,,0.1,8.6,15,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,31,,良好,0.4,0.23,22.9,34.4,7,7,7.3,8.8,1.5,0.4,354,2024-06-05 02:00,,0.1,6.9,9,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,53,細懸浮微粒,普通,1.1,0.24,38.2,48.9,21,14,6.1,6,0,0.3,0,2024-06-05 02:00,,0.2,16.3,26,1,120.56373,23.96117,201
大城,彰化縣,45,,良好,0.8,0.18,36.3,49.4,23,13,2.7,4.3,1.5,0.9,116,2024-06-05 02:00,,0.1,13.1,23,1,120.26964167,23.85493056,85
富貴角,新北市,54,臭氧八小時,普通,0.8,0.13,54.2,56.4,31,9,2.6,2.7,0.1,4,94,2024-06-05 02:00,,0.1,10.8,29,0,121.53656894,25.29681695,84
麥寮,雲林縣,44,,良好,1,0.21,38.3,47.6,17,11,3.6,3.8,0.2,0.6,116,2024-06-05 02:00,,0.2,12.6,18,1,120.251825,23.753506,83
關山,臺東縣,30,,良好,0.7,0.16,23,30.7,28,10,1.8,3,1.1,0.3,280,2024-06-05 02:00,,0.1,9.2,24,0,121.161933,23.045083,80
馬公,澎湖縣,77,臭氧八小時,普通,1.3,0.16,62,63.7,25,9,3.3,4.2,0.8,0.2,337,2024-06-05 02:00,,0.2,11.8,26,1,119.566158,23.569031,78
金門,金門縣,40,,良好,0.6,0.19,53.3,43.0,15,8,4.9,5.6,0.7,2,330,2024-06-05 02:00,,0.2,12.4,18,2,118.312256,24.432133,77
馬祖,連江縣,58,臭氧八小時,普通,1.1,0.21,50,57.6,26,13,4.4,5.3,0.9,2.3,336,2024-06-05 02:00,,0.2,12.5,25,1,119.93149378,26.15188416,75
埔里,南投縣,35,,良好,1,0.2,35.5,38.7,8,6,2.4,3.6,1.1,0.4,312,2024-06-05 02:00,,0.2,9.6,12,1,120.967903,23.968842,72
復興,高雄市,35,,良好,2.8,0.4,17.3,32.0,7,6,21.2,22.6,1.4,0.5,140,2024-06-05 02:00,,0.4,4.8,12,1,120.312017,22.608711,71
永和,新北市,41,,良好,0.4,0.21,49.2,44.7,20,11,4.7,5.2,0.4,0.9,100,2024-06-05 02:00,,0.3,12.1,22,0,121.516306,25.017,70
竹山,南投縣,43,,良好,0.6,0.18,32.6,47.0,19,12,5.5,6.4,0.8,0.8,31,2024-06-05 02:00,,0.1,13.1,14,1,120.677306,23.756389,69
中壢,桃園市,55,細懸浮微粒,普通,1.7,0.42,34.3,16.2,20,14,13,14.6,1.5,0.2,265,2024-06-05 02:00,,1.2,17.3,30,1,121.221667,24.953278,68
三重,新北市,38,,良好,0.8,0.41,31,27.6,29,11,20.1,25.7,5.5,-,-,2024-06-05 02:00,,0.6,11.7,27,1,121.493806,25.072611,67
冬山,宜蘭縣,40,,良好,0.3,0.19,19.4,23.6,28,12,2.6,3.4,0.7,0.9,316,2024-06-05 02:00,,0.2,12.3,30,0,121.792928,24.632203,66
宜蘭,宜蘭縣,30,,良好,0.6,0.22,22,24.7,19,7,3.7,4.4,0.6,1,325,2024-06-05 02:00,,0.2,9.3,23,1,121.746394,24.747917,65
陽明,臺北市,64,臭氧八小時,普通,1,0.19,57.5,59.8,27,13,1.5,1.6,0.1,3.1,190,2024-06-05 02:00,,0.1,8.9,23,1,121.529583,25.182722,64
花蓮,花蓮縣,37,,良好,0.5,0.2,39.9,40.3,22,12,1.5,2.4,0.8,3.2,231,2024-06-05 02:00,,0.2,10.3,23,0,121.599769,23.971306,63
臺東,臺東縣,41,,良好,1.3,0.15,47.5,44.6,21,6,1.7,2.6,0.8,1,299,2024-06-05 02:00,,0.1,8,25,1,121.15045,22.755358,62
恆春,屏東縣,51,臭氧八小時,普通,0.3,0.16,53.7,55.4,20,9,1,1,0,8.4,35,2024-06-05 02:00,,0.1,8.7,20,0,120.788928,21.958069,61
潮州,屏東縣,28,,良好,0.3,0.18,21.3,30.7,21,6,5,5.4,0.3,1.2,6,2024-06-05 02:00,,0.1,7.9,20,1,120.561175,22.523108,60
屏東,屏東縣,35,,良好,0.6,0.25,32.2,38.0,13,2,5.3,6.1,0.7,0.8,356,2024-06-05 02:00,,0.2,7.8,15,1,120.488033,22.673081,59
小港,高雄市,31,,良好,0.6,0.21,33.2,33.6,7,2,6.8,7.9,1.1,0.5,16,2024-06-05 02:00,,0.2,7.5,14,1,120.337736,22.565833,58
前鎮,高雄市,35,,良好,4.6,0.43,17.1,30.8,13,5,21.8,22.5,0.7,1,6,2024-06-05 02:00,,0.3,5.5,15,1,120.30833356,22.6044507,57
前金,高雄市,34,,良好,0.4,0.21,34.5,37.4,18,3,6,6.8,0.7,1.7,337,2024-06-05 02:00,,0.2,4.4,15,0,120.28676111,22.63390278,56
左營,高雄市,32,,良好,0.4,0.24,28.4,35.6,17,6,12.8,13.1,0.3,1,328,2024-06-05 02:00,,0.2,8.5,16,0,120.292917,22.674861,54
楠梓,高雄市,32,,良好,0.2,0.22,26.5,35.8,10,2,7.8,8.5,0.6,0.4,42,2024-06-05 02:00,,0.2,5.1,13,1,120.328289,22.733667,53
林園,高雄市,33,,良好,0.4,0.21,31.5,36.2,20,5,4.8,5.4,0.6,1.5,22,2024-06-05 02:00,,0.2,6.8,21,0,120.41175,22.4795,52
大寮,高雄市,29,,良好,4.1,0.2,26.7,31.8,16,6,8.7,9.2,0.4,0.1,12,2024-06-05 02:00,,0.2,7.1,19,3,120.425311,22.56413611,51
鳳山,高雄市,33,,良好,1,0.22,37.7,36.8,8,4,5.1,5.7,0.5,0.3,347,2024-06-05 02:00,,0.3,5.3,15,1,120.357422,22.628126,50
仁武,高雄市,32,,良好,1.1,0.27,28.1,35.6,12,6,12.4,13.3,0.8,1.3,328,2024-06-05 02:00,,0.2,7.6,12,1,120.332631,22.689056,49
橋頭,高雄市,33,,良好,1.1,0.2,27.1,36.6,12,2,5.9,6.7,0.7,1.3,17,2024-06-05 02:00,,0.1,4.9,12,1,120.305689,22.757506,48
美濃,高雄市,35,,良好,0.4,0.2,23.5,38.3,20,1,2.7,3.8,1.1,0.2,40,2024-06-05 02:00,,0.1,3.8,15,0,120.530542,22.883583,47
臺南,臺南市,36,,良好,0.2,0.22,37.4,39.3,11,11,10.6,10.5,0,1,31,2024-06-05 02:00,,0.2,6.5,9,0,120.21947897,22.98928311,46
安南,臺南市,38,,良好,0.3,0.28,29.2,41.8,27,18,13.1,13.7,0.6,0.3,38,2024-06-05 02:00,,0.2,8.9,16,1,120.2175,23.048197,45
善化,臺南市,37,,良好,2,0.17,29.3,40.8,10,6,6,6.6,0.5,0.6,10,2024-06-05 02:00,,0.1,8.1,11,1,120.29740529,23.11337642,44
新營,臺南市,47,,良好,0.7,0.2,42.7,52.0,10,0,3.8,5.2,1.3,0.3,60,2024-06-05 02:00,,0.2,6.4,13,1,120.31725,23.305633,43
嘉義,嘉義市,46,,良好,0.9,0.21,39.5,50.2,10,2,5.1,6.1,0.9,1.1,69,2024-06-05 02:00,,0.2,4.4,9,2,120.44125148,23.46477865,42
臺西,雲林縣,44,,良好,0.5,0.2,38.7,47.8,22,11,2.9,3.4,0.4,0.4,74,2024-06-05 02:00,,0.1,10.4,22,1,120.19933333,23.702175,41
朴子,嘉義縣,47,,良好,0.7,0.2,39.2,51.3,15,8,3.5,5.4,1.9,0.3,67,2024-06-05 02:00,,0.2,6.6,12,1,120.2478,23.46538,40
新港,嘉義縣,49,,良好,1.8,0.22,40.4,53.2,27,17,5.1,6.9,1.7,0.7,95,2024-06-05 02:00,,0.2,13.4,27,1,120.345531,23.554839,39
崙背,雲林縣,53,細懸浮微粒,普通,0.6,0.26,28.7,44.4,31,19,6.2,7.8,1.6,0.3,102,2024-06-05 02:00,,0.2,16.5,26,0,120.348742,23.757547,38
斗六,雲林縣,48,,良好,0.9,0.24,36.6,52.3,20,11,10,10.7,0.6,0.2,105,2024-06-05 02:00,,0.2,13.2,20,1,120.544994,23.711853,37
南投,南投縣,42,,良好,0,0.2,38.2,45.7,16,8,2.4,3.9,1.4,0.2,71,2024-06-05 02:00,,0.2,9.7,19,0,120.685306,23.913,36
二林,彰化縣,55,細懸浮微粒,普通,0.7,0.23,28.6,48.7,27,19,6.9,7.4,0.4,0.8,65,2024-06-05 02:00,,0.2,17.3,29,1,120.409653,23.925175,35
線西,彰化縣,48,,良好,0.7,0.27,33.7,52.7,31,18,6.4,7.2,0.7,1.8,148,2024-06-05 02:00,,0.2,14.2,29,1,120.469061,24.131672,34
彰化,彰化縣,46,,良好,0.4,0.21,33.4,50.7,18,11,4.1,5.1,1,0.4,130,2024-06-05 02:00,,0.2,13.9,26,1,120.541519,24.066,33
西屯,臺中市,60,細懸浮微粒,普通,0.9,0.24,40.1,45.4,22,18,6.8,8.6,1.8,0.4,16,2024-06-05 02:00,,0.2,19,27,1,120.616917,24.162197,32
忠明,臺中市,48,,良好,1.3,0.25,40.7,48.0,21,10,3.7,4.5,0.8,0.3,67,2024-06-05 02:00,,0.2,14.7,23,1,120.641092,24.151958,31
大里,臺中市,60,細懸浮微粒,普通,1,0.32,28.8,45.7,23,18,6.8,7.4,0.6,0.5,95,2024-06-05 02:00,,0.3,19.2,24,1,120.67844444,24.09961111,30
沙鹿,臺中市,48,,良好,0.9,0.22,47.6,49.0,13,6,3.5,3.9,0.4,1.6,123,2024-06-05 02:00,,0.2,14.9,23,1,120.568794,24.225628,29
豐原,臺中市,45,,良好,1.1,0.21,35.4,41.0,8,9,4.5,5.2,0.7,0.5,355,2024-06-05 02:00,,0.2,13.8,21,1,120.74252414,24.25699731,28
三義,苗栗縣,45,,良好,1,0.26,32.4,33.4,15,10,6.4,7.8,1.3,0.3,231,2024-06-05 02:00,,0.2,13.8,20,1,120.75956754,24.38248443,27
苗栗,苗栗縣,29,,良好,1,0.19,22.7,24.6,16,7,3.8,5.5,1.7,0.7,43,2024-06-05 02:00,,0.2,9,15,1,120.82011468,24.56499183,26
頭份,苗栗縣,32,,良好,0.9,0.21,32.2,26.5,15,8,3.3,4.4,1.1,1.2,81,2024-06-05 02:00,,0.3,9.9,18,1,120.89869286,24.69690679,25
新竹,新竹市,36,,良好,0.3,0.26,35.4,17.7,8,6,14.9,15.6,0.6,1.5,72,2024-06-05 02:00,,0.5,11.1,18,1,120.97236752,24.8056356,24
竹東,新竹縣,28,,良好,0.6,0.21,19.1,19.6,15,7,3.7,4,0.2,0.2,153,2024-06-05 02:00,,0.2,8.6,22,1,121.08895493,24.74091408,23
湖口,新竹縣,57,細懸浮微粒,普通,0.8,0.29,25.9,22.3,17,15,8.9,10.6,1.6,1.4,121,2024-06-05 02:00,,0.4,18,31,2,121.03886894,24.90009696,22
龍潭,桃園市,56,細懸浮微粒,普通,0.4,0.3,23.7,27.1,23,16,14.7,15.9,1.2,0.3,274,2024-06-05 02:00,,0.4,17.4,30,1,121.21645772,24.86400048,21
平鎮,桃園市,46,,良好,0.6,0.29,39.3,32.0,19,13,10.4,11.6,1.1,0.3,240,2024-06-05 02:00,,0.5,14.2,28,1,121.203986,24.952786,20
觀音,桃園市,56,細懸浮微粒,普通,1.5,0.25,35.8,31.6,26,21,12.6,13.1,0.4,2.9,116,2024-06-05 02:00,,0.3,17.4,28,1,121.08283092,25.03556747,19
大園,桃園市,41,,良好,0.4,0.28,43.9,36.1,21,11,6.5,6.9,0.3,2.4,208,2024-06-05 02:00,,0.3,12.7,26,1,121.20251473,25.06100357,18
桃園,桃園市,51,細懸浮微粒,普通,1.4,0.38,27.6,36.8,28,16,17.3,17.8,0.5,0.9,213,2024-06-05 02:00,,0.4,15.5,26,1,121.30500531,24.9947107,17
大同,臺北市,55,細懸浮微粒,普通,0.4,0.31,41.2,27.0,26,13,9.3,10.2,0.9,-,-,2024-06-05 02:00,,0.7,17,34,0,121.51342074,25.06331455,16
松山,臺北市,46,,良好,1.1,0.21,45.3,37.6,26,15,6.9,6.9,0,0.9,63,2024-06-05 02:00,,0.2,14.1,28,1,121.578611,25.05,15
古亭,臺北市,44,,良好,1.3,0.18,50.7,48.2,24,14,3.2,3.4,0.2,1.2,79,2024-06-05 02:00,,0.2,12,24,1,121.529556,25.020608,14
萬華,臺北市,39,,良好,0.6,0.22,50.5,40.6,23,10,6.2,6.5,0.2,1,90,2024-06-05 02:00,,0.3,12,28,0,121.507972,25.046503,13
中山,臺北市,38,,良好,0.7,0.24,47.2,39.1,25,11,7.2,7.7,0.4,1.5,110,2024-06-05 02:00,,0.3,11.6,27,0,121.526528,25.062361,12
士林,臺北市,47,,良好,0.2,0.17,52.9,51.1,30,16,3.6,4,0.4,1.2,137,2024-06-05 02:00,,0.1,12,24,1,121.51666356,25.10334003,11
淡水,新北市,67,臭氧八小時,普通,0.8,0.18,56.1,60.4,27,15,2.5,2.8,0.3,4.4,150,2024-06-05 02:00,,0.1,12.4,33,1,121.449239,25.1645,10
林口,新北市,42,,良好,0.6,0.24,44.5,45.8,22,8,8.8,9.8,1,1.1,128,2024-06-05 02:00,,0.2,9.3,23,0,121.36548982,25.07798949,9
菜寮,新北市,42,,良好,0.7,0.27,46,45.9,27,9,9.4,9.7,0.3,2,107,2024-06-05 02:00,,0.3,10.1,26,1,121.481028,25.06895,8
新莊,新北市,42,,良好,0.6,0.32,37.7,41.0,24,14,12.2,12.7,0.4,1.4,161,2024-06-05 02:00,,0.3,12.9,26,0,121.4325,25.037972,7
板橋,新北市,38,,良好,0.6,0.34,37.8,41.5,27,11,12.1,12.8,0.7,0.5,194,2024-06-05 02:00,,0.3,9.5,27,0,121.458667,25.012972,6
土城,新北市,56,細懸浮微粒,普通,0.9,0.34,29.5,42.8,33,22,13.6,14.1,0.5,0.3,100,2024-06-05 02:00,,0.3,17.6,29,1,121.451861,24.982528,5
新店,新北市,51,細懸浮微粒,普通,0.7,0.21,52,52.8,21,18,3.6,4.8,1.2,1.1,138,2024-06-05 02:00,,0.2,15.6,24,1,121.537778,24.977222,4
萬里,新北市,31,,良好,0.5,0.18,31,33.1,25,6,7.4,7.9,0.5,2,204,2024-06-05 02:00,,0.2,8.1,25,1,121.689881,25.179667,3
汐止,新北市,42,,良好,0.3,0.23,25.9,45.6,25,17,16,17,0.9,0.6,71,2024-06-05 02:00,,0.1,11.8,22,1,121.64081,25.06624,2
基隆,基隆市,44,,良好,0.4,0.22,47.3,48.6,25,10,4.3,4.5,0.2,1.2,102,2024-06-05 02:00,,0.2,9.4,24,1,121.760056,25.129167,1
屏東(枋山),屏東縣,64,臭氧八小時,普通,0.2,0.15,61,59.4,18,8,1.9,1.8,0,1.1,26,2024-06-05 01:00,,0.1,7.1,19,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,51,細懸浮微粒,普通,0,0.46,37.3,42.1,22,15,8,8.4,0.4,0.7,110,2024-06-05 01:00,,0.4,15.6,24,0,120.65525382,24.39017512,312
新北(樹林),新北市,57,細懸浮微粒,普通,0.6,0.31,21.8,23.6,33,21,11.6,12.4,0.8,0,69,2024-06-05 01:00,,0.4,18.1,31,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,41,,良好,0.6,0.18,42.8,44.2,6,9,3.1,3.1,0,1.3,343,2024-06-05 01:00,,0.2,10.4,12,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,43,,良好,0.2,0.21,37.8,46.1,20,9,5.6,5.8,0.2,0.2,127,2024-06-05 01:00,,0.1,8.2,15,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,33,,良好,1.3,0.21,25.6,36.7,12,9,4.5,5.4,0.9,0.4,340,2024-06-05 01:00,,0.1,7.1,11,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,52,細懸浮微粒,普通,1.1,0.25,43.5,51.2,25,17,5,5.1,0,0.5,106,2024-06-05 01:00,,0.3,16.1,26,1,120.56373,23.96117,201
大城,彰化縣,51,臭氧八小時,普通,1.2,0.18,40.2,55.1,25,14,2.5,4,1.5,0.3,297,2024-06-05 01:00,,0.1,12.7,23,1,120.26964167,23.85493056,85
富貴角,新北市,54,臭氧八小時,普通,1.1,0.15,54.7,56.8,33,8,2.5,2.6,0,4.2,97,2024-06-05 01:00,,0.1,11,28,0,121.53656894,25.29681695,84
麥寮,雲林縣,46,,良好,1.1,0.22,41.9,50.8,15,11,3.3,4.9,1.5,1.4,132,2024-06-05 01:00,,0.2,12.5,18,2,120.251825,23.753506,83
關山,臺東縣,31,,良好,0.8,0.16,25.8,33.8,24,6,2.3,2.5,0.2,0.5,202,2024-06-05 01:00,,0.1,9.4,24,0,121.161933,23.045083,80
馬公,澎湖縣,84,臭氧八小時,普通,1.4,0.21,55,65.2,26,14,5.8,6,0.1,0.2,178,2024-06-05 01:00,,0.2,12.2,26,1,119.566158,23.569031,78
金門,金門縣,44,,良好,1.6,0.18,53,42.4,15,8,6.3,7.4,1,2.9,325,2024-06-05 01:00,,0.2,13.7,18,2,118.312256,24.432133,77
